STATE,MONTHLY,"OIL PRODUCED (MONTHLY TOTAL)","GAS PRODUCED (MONTHLY TOTAL)","WATER PRODUCED (MONTHLY TOTAL)"
Colorado,1999-01,200546,3059217,26783
Colorado,1999-02,182239,2713827,24001
Colorado,1999-03,199907,3057998,28525
Colorado,1999-04,184218,2877076,26367
Colorado,1999-05,200624,3040863,31359
Colorado,1999-06,182879,2898281,25493
Colorado,1999-07,176155,3006574,24721
Colorado,1999-08,202865,3072766,31079
Colorado,1999-09,202235,3175035,30255
Colorado,1999-10,201646,3238683,29649
Colorado,1999-11,207407,3243838,29280
Colorado,1999-12,210089,3392299,31237
Colorado,2000-01,223341,3459902,32249
Colorado,2000-02,203677,3245485,30375
Colorado,2000-03,219794,3490661,30568
Colorado,2000-04,204560,3253916,29494
Colorado,2000-05,205271,3363199,29021
Colorado,2000-06,197755,3278072,27948
Colorado,2000-07,204601,3358789,28362
Colorado,2000-08,209446,3466016,32185
Colorado,2000-09,197824,3327129,28828
Colorado,2000-10,235028,3664245,33951
Colorado,2000-11,217979,3548669,35006
Colorado,2000-12,224208,3826670,32960
Colorado,2001-01,241886,3887354,35249
Colorado,2001-02,206264,3472274,134739
Colorado,2001-03,237248,3962666,40146
Colorado,2001-04,229178,3808673,38601
Colorado,2001-05,236011,4004470,40966
Colorado,2001-06,223620,3848801,38196
Colorado,2001-07,237057,4046770,40602
Colorado,2001-08,239418,4099687,40944
Colorado,2001-09,244873,4087915,37253
Colorado,2001-10,275140,4217060,42860
Colorado,2001-11,280013,4335215,43656
Colorado,2001-12,302599,4579486,44899
Colorado,2002-01,299225,4695987,46544
Colorado,2002-02,267987,4295156,42673
Colorado,2002-03,292307,4779018,54414
Colorado,2002-04,291438,4618907,48117
Colorado,2002-05,293230,4856069,50796
Colorado,2002-06,272130,4676277,42746
Colorado,2002-07,285930,4744341,44250
Colorado,2002-08,285338,4997435,46981
Colorado,2002-09,306267,4907001,49305
Colorado,2002-10,320374,5085780,53569
Colorado,2002-11,306346,4965834,48424
Colorado,2002-12,336844,5245099,53958
Colorado,2003-01,325717,5245131,55184
Colorado,2003-02,300569,4733399,47839
Colorado,2003-03,335601,5215797,51719
Colorado,2003-04,315940,5087823,67519
Colorado,2003-05,333204,5493007,56920
Colorado,2003-06,328389,5343193,58315
Colorado,2003-07,325863,5231974,57593
Colorado,2003-08,340694,5548044,60838
Colorado,2003-09,367261,5473097,65359
Colorado,2003-10,375467,5531126,71483
Colorado,2003-11,372537,5381342,65530
Colorado,2003-12,423357,5660947,76029
Colorado,2004-01,419141,5663216,75127
Colorado,2004-02,431944,5473343,74883
Colorado,2004-03,489808,6111805,84719
