"Category","Oil Production","Gas Production","Water Production","Number of Wells"
"1999-01",200546,3059217,26783,3390
"1999-02",182239,2713827,24001,3443
"1999-03",199907,3057998,28525,3408
"1999-04",184218,2877076,26367,3404
"1999-05",200624,3040863,31359,3413
"1999-06",182879,2898281,25493,3435
"1999-07",176155,3006574,24721,3440
"1999-08",202865,3072766,31079,3439
"1999-09",202235,3175035,30255,3488
"1999-10",201646,3238683,29649,3459
"1999-11",207407,3243838,29280,3461
"1999-12",210089,3392299,31237,3460
"2000-01",223341,3459902,32249,3465
"2000-02",203677,3245485,30375,3466
"2000-03",219794,3490661,30568,3471
"2000-04",204560,3253916,29494,3469
"2000-05",205271,3363199,29021,3472
"2000-06",197755,3278072,27948,3466
"2000-07",204601,3358789,28362,3472
"2000-08",209446,3466016,32185,3477
"2000-09",197824,3327129,28828,3475
"2000-10",235028,3664245,33951,3456
"2000-11",217979,3548669,35006,3483
"2000-12",224208,3826670,32960,3487
"2001-01",241886,3887354,35249,3487
"2001-02",206264,3472274,134739,3481
"2001-03",237248,3962666,40146,3488
"2001-04",229178,3808673,38601,3498
"2001-05",236011,4004470,40966,3508
"2001-06",223620,3848801,38196,3518
"2001-07",237057,4046770,40602,3528
"2001-08",239418,4099687,40944,3539
"2001-09",244873,4087915,37253,3545
"2001-10",275140,4217060,42860,3558
"2001-11",280013,4335215,43656,3566
"2001-12",302599,4579486,44899,3571
"2002-01",299225,4695987,46544,3585
"2002-02",267987,4295156,42673,3584
"2002-03",292307,4779018,54414,3581
"2002-04",291438,4618907,48117,3586
"2002-05",293230,4856069,50796,3598
"2002-06",272130,4676277,42746,3604
"2002-07",285930,4744341,44250,3620
"2002-08",285338,4997435,46981,3630
"2002-09",306267,4907001,49305,3647
"2002-10",320374,5085780,53569,3655
"2002-11",306346,4965834,48424,3667
"2002-12",336844,5245099,53958,3686
"2003-01",325717,5245131,55184,3705
"2003-02",300569,4733399,47839,3718
"2003-03",335601,5215797,51719,3744
"2003-04",315940,5087823,67519,3757
"2003-05",333204,5493007,56920,3768
"2003-06",328389,5343193,58315,3788
"2003-07",325863,5231974,57593,3799
"2003-08",340694,5548044,60838,3837
"2003-09",367261,5473097,65359,3864
"2003-10",375467,5531126,71483,3904
"2003-11",372537,5381342,65530,3953
"2003-12",423357,5660947,76029,4011
"2004-01",419141,5663216,75127,4052
"2004-02",431944,5473343,74883,4104
"2004-03",489808,6111805,84719,4147
"2004-04",494335,6118760,84098,4191
"2004-05",494632,6312171,81271,4221
"2004-06",491846,6077403,85121,4257
"2004-07",467155,6224524,75497,4286
"2004-08",493037,6288989,81928,4319
"2004-09",460569,5933419,81016,4347
"2004-10",466233,6003644,91485,4378
"2004-11",468796,5781435,92660,4402
"2004-12",489562,6106455,94150,4476
"2005-01",501925,6174757,97755,4532
"2005-02",461772,5675630,94718,4545
"2005-03",517523,6298450,134939,4608
"2005-04",492272,6071302,118390,4665
"2005-05",545621,6357087,132485,4716
"2005-06",505521,6016701,131886,4772
"2005-07",504586,6184609,133775,4803
